n, alg1_cmp, alg1_swaps, alg1_time, alg2_cmp, alg2_swaps, alg2_time
0,       0,       0,       0,       0,       0,       0
1,       0,       0,       0,       0,       0,       0
2,       1,       0,       1,       1,       0,       2
3,       2,       0,       0,       2,       0,       1
4,       5,       3,       1,       5,       2,       2
5,       7,       4,       0,       7,       3,       2
6,       12,       9,       1,       10,       5,       2
7,       18,       15,       1,       12,       7,       2
8,       25,       21,       1,       16,       9,       3
9,       28,       23,       2,       20,       11,       3
10,       35,       29,       3,       21,       11,       4
11,       36,       29,       3,       26,       11,       4
12,       46,       38,       3,       31,       14,       7
13,       50,       41,       15,       34,       15,       6
14,       56,       46,       9,       37,       20,       6
15,       60,       49,       4,       43,       20,       12
16,       69,       57,       5,       48,       26,       10
17,       72,       59,       7,       52,       28,       9
18,       87,       73,       6,       58,       30,       9
19,       97,       82,       8,       62,       34,       9
20,       101,       85,       7,       64,       33,       17
21,       112,       95,       7,       69,       38,       11
22,       113,       95,       8,       74,       33,       12
23,       116,       97,       8,       75,       31,       21
24,       126,       106,       9,       84,       39,       13
25,       147,       126,       11,       88,       43,       15
26,       159,       137,       11,       94,       46,       14
27,       176,       153,       11,       97,       49,       16
28,       182,       158,       10,       102,       52,       18
29,       189,       164,       10,       105,       56,       15
30,       211,       185,       11,       116,       58,       18
31,       241,       215,       13,       116,       59,       19
32,       268,       241,       14,       124,       65,       20
33,       294,       266,       16,       129,       69,       18
34,       318,       289,       16,       130,       71,       21
35,       346,       316,       27,       136,       74,       20
36,       381,       350,       22,       146,       81,       21
37,       397,       365,       21,       153,       83,       29
38,       431,       398,       23,       156,       86,       13
39,       469,       436,       25,       158,       89,       24
40,       497,       463,       26,       163,       88,       14
41,       512,       477,       27,       166,       89,       14
42,       514,       478,       27,       177,       97,       15
43,       519,       482,       27,       179,       95,       16
44,       531,       493,       28,       184,       91,       15
45,       575,       537,       30,       193,       100,       15
46,       618,       579,       32,       196,       93,       17
47,       633,       593,       33,       195,       93,       16
48,       652,       611,       34,       208,       106,       5
49,       696,       654,       37,       215,       112,       2
50,       723,       680,       38,       222,       113,       4
51,       753,       709,       40,       227,       118,       6
52,       804,       759,       42,       234,       125,       4
53,       855,       809,       45,       239,       130,       4
54,       905,       858,       48,       243,       134,       4
55,       927,       879,       49,       245,       127,       4
56,       973,       924,       51,       257,       136,       4
57,       1026,       976,       54,       263,       141,       6
58,       1036,       985,       55,       266,       140,       3
59,       1091,       1039,       58,       271,       140,       3
60,       1134,       1081,       59,       281,       138,       4
61,       1162,       1108,       61,       288,       145,       4
62,       1198,       1143,       63,       289,       147,       21
63,       1216,       1160,       64,       298,       148,       5
64,       1235,       1178,       65,       302,       152,       5
65,       1293,       1235,       68,       309,       159,       4
66,       1350,       1291,       71,       317,       167,       5
67,       1363,       1303,       71,       322,       166,       4
68,       1408,       1347,       74,       329,       173,       5
69,       1430,       1368,       74,       333,       176,       4
70,       1499,       1436,       78,       344,       185,       6
71,       1529,       1465,       84,       347,       189,       13
72,       1540,       1475,       76,       358,       191,       6
73,       1587,       1521,       73,       365,       199,       5
74,       1630,       1563,       75,       371,       198,       5
75,       1699,       1631,       78,       377,       206,       17
76,       1760,       1691,       81,       388,       217,       8
77,       1806,       1736,       83,       389,       213,       5
78,       1810,       1739,       83,       396,       209,       7
79,       1837,       1765,       83,       395,       207,       8
80,       1879,       1806,       86,       409,       219,       18
81,       1907,       1833,       87,       417,       225,       6
82,       1933,       1858,       88,       417,       224,       6
83,       1936,       1860,       89,       417,       217,       5
84,       1980,       1903,       91,       437,       234,       7
85,       2050,       1972,       100,       442,       236,       6
86,       2053,       1974,       94,       440,       223,       6
87,       2089,       2009,       105,       449,       238,       6
88,       2129,       2048,       107,       458,       234,       7
89,       2191,       2109,       111,       466,       238,       6
90,       2270,       2187,       115,       474,       240,       8
91,       2323,       2239,       89,       482,       251,       6
92,       2333,       2248,       26,       483,       237,       8
93,       2400,       2314,       14,       491,       246,       7
94,       2425,       2338,       44,       492,       243,       8
95,       2454,       2366,       35,       499,       248,       9
96,       2542,       2453,       55,       513,       261,       7
97,       2630,       2540,       32,       519,       266,       6
98,       2695,       2604,       53,       529,       271,       11
99,       2710,       2618,       23,       531,       265,       11
100,       2797,       2704,       39,       546,       283,       7
101,       2811,       2717,       52,       551,       282,       6
102,       2870,       2775,       64,       549,       282,       10
103,       2904,       2808,       11,       561,       293,       9
104,       2979,       2882,       10,       573,       299,       10
105,       3083,       2985,       11,       578,       303,       8
106,       3110,       3011,       10,       583,       303,       9
107,       3199,       3099,       11,       594,       314,       7
108,       3238,       3137,       11,       596,       314,       8
109,       3333,       3231,       11,       601,       320,       8
110,       3372,       3269,       12,       608,       314,       9
111,       3457,       3353,       12,       614,       321,       8
112,       3568,       3464,       12,       630,       338,       11
113,       3603,       3498,       22,       637,       343,       9
114,       3626,       3520,       12,       640,       330,       10
115,       3738,       3631,       13,       651,       340,       9
116,       3801,       3693,       13,       646,       326,       12
117,       3820,       3711,       13,       653,       333,       9
118,       3912,       3802,       13,       660,       331,       12
119,       3956,       3845,       14,       663,       342,       9
120,       4075,       3964,       14,       681,       348,       10
121,       4103,       3991,       14,       687,       349,       9
122,       4218,       4105,       14,       692,       351,       10
123,       4304,       4190,       15,       702,       351,       9
124,       4321,       4206,       15,       706,       365,       10
125,       4352,       4236,       15,       710,       362,       10
126,       4463,       4346,       15,       721,       360,       11
127,       4564,       4446,       16,       728,       362,       11
128,       4623,       4504,       16,       735,       372,       11
129,       4704,       4584,       16,       742,       379,       10
130,       4824,       4703,       17,       745,       386,       11
131,       4943,       4821,       17,       754,       391,       10
132,       5008,       4885,       17,       768,       401,       11
133,       5087,       4963,       17,       774,       408,       12
134,       5209,       5084,       18,       777,       398,       12
135,       5260,       5134,       18,       786,       404,       11
